,date,end_id,amount
267,2016-01-06,Cluster 45,1274
268,2016-01-06,Cluster 46,4
269,2016-01-06,Cluster 5,1376
270,2016-01-06,Cluster 6,3939
271,2016-01-06,Cluster 7,821
272,2016-01-06,Cluster 8,4725
273,2016-01-06,Cluster 9,873
274,2016-01-07,Cluster 1,947
275,2016-01-07,Cluster 10,111
276,2016-01-07,Cluster 11,186
277,2016-01-07,Cluster 12,251
278,2016-01-07,Cluster 13,172
279,2016-01-07,Cluster 14,437
280,2016-01-07,Cluster 15,574
281,2016-01-07,Cluster 16,13
282,2016-01-07,Cluster 17,188
283,2016-01-07,Cluster 18,452
284,2016-01-07,Cluster 19,148
285,2016-01-07,Cluster 2,1068
286,2016-01-07,Cluster 20,128
287,2016-01-07,Cluster 21,505
288,2016-01-07,Cluster 22,172
289,2016-01-07,Cluster 23,233
290,2016-01-07,Cluster 24,44
291,2016-01-07,Cluster 25,1644
292,2016-01-07,Cluster 26,948
293,2016-01-07,Cluster 27,191
294,2016-01-07,Cluster 28,21
295,2016-01-07,Cluster 29,5
296,2016-01-07,Cluster 3,692
297,2016-01-07,Cluster 30,30
298,2016-01-07,Cluster 31,28
299,2016-01-07,Cluster 32,65
300,2016-01-07,Cluster 33,38
301,2016-01-07,Cluster 34,54
302,2016-01-07,Cluster 35,14
303,2016-01-07,Cluster 36,20
304,2016-01-07,Cluster 37,28
305,2016-01-07,Cluster 38,40
306,2016-01-07,Cluster 39,57
307,2016-01-07,Cluster 4,1120
308,2016-01-07,Cluster 40,2
309,2016-01-07,Cluster 41,5
310,2016-01-07,Cluster 42,9
311,2016-01-07,Cluster 43,2
312,2016-01-07,Cluster 44,12
313,2016-01-07,Cluster 45,1561
314,2016-01-07,Cluster 46,4
315,2016-01-07,Cluster 5,1559
316,2016-01-07,Cluster 6,4294
317,2016-01-07,Cluster 7,942
318,2016-01-07,Cluster 8,5348
319,2016-01-07,Cluster 9,1049
320,2016-01-08,Cluster 1,1011
321,2016-01-08,Cluster 10,93
322,2016-01-08,Cluster 11,150
323,2016-01-08,Cluster 12,173
324,2016-01-08,Cluster 13,141
325,2016-01-08,Cluster 14,371
326,2016-01-08,Cluster 15,510
327,2016-01-08,Cluster 16,20
328,2016-01-08,Cluster 17,178
329,2016-01-08,Cluster 18,463
330,2016-01-08,Cluster 19,147
331,2016-01-08,Cluster 2,1027
332,2016-01-08,Cluster 20,104
333,2016-01-08,Cluster 21,523
334,2016-01-08,Cluster 22,139
335,2016-01-08,Cluster 23,232
336,2016-01-08,Cluster 24,42
337,2016-01-08,Cluster 25,1348
338,2016-01-08,Cluster 26,749
339,2016-01-08,Cluster 27,172
340,2016-01-08,Cluster 28,17
341,2016-01-08,Cluster 29,8
