,date,end_id,amount
535,01/08/2016,34.0,7.0
536,01/08/2016,35.0,1.0
537,01/08/2016,39.0,4.0
538,01/08/2016,41.0,13.0
539,01/08/2016,56.0,169.0
540,01/08/2016,76.0,452.0
541,01/08/2016,77.0,33.0
542,01/08/2017,3.0,7.0
543,01/08/2017,5.0,4.0
544,01/08/2017,6.0,151.0
545,01/08/2017,7.0,208.0
546,01/08/2017,8.0,1744.0
547,01/08/2017,21.0,1.0
548,01/08/2017,22.0,9.0
549,01/08/2017,24.0,119.0
550,01/08/2017,28.0,403.0
551,01/08/2017,32.0,974.0
552,01/08/2017,33.0,107.0
553,01/08/2017,34.0,1.0
554,01/08/2017,41.0,1.0
555,01/08/2017,56.0,91.0
556,01/08/2017,61.0,1.0
557,01/08/2017,76.0,439.0
558,01/08/2017,77.0,2.0
559,01/09/2015,1.0,21.0
560,01/09/2015,2.0,4.0
561,01/09/2015,3.0,322.0
562,01/09/2015,4.0,62.0
563,01/09/2015,5.0,134.0
564,01/09/2015,6.0,1499.0
565,01/09/2015,7.0,1673.0
566,01/09/2015,8.0,8328.0
567,01/09/2015,14.0,6.0
568,01/09/2015,15.0,1.0
569,01/09/2015,16.0,7.0
570,01/09/2015,21.0,29.0
571,01/09/2015,22.0,295.0
572,01/09/2015,24.0,1034.0
573,01/09/2015,28.0,2977.0
574,01/09/2015,30.0,2.0
575,01/09/2015,31.0,8.0
576,01/09/2015,32.0,5738.0
577,01/09/2015,33.0,462.0
578,01/09/2015,34.0,3.0
579,01/09/2015,35.0,6.0
580,01/09/2015,38.0,2.0
581,01/09/2015,39.0,8.0
582,01/09/2015,41.0,43.0
583,01/09/2015,56.0,273.0
584,01/09/2015,59.0,2.0
585,01/09/2015,76.0,733.0
586,01/09/2015,77.0,73.0
587,01/09/2016,1.0,17.0
588,01/09/2016,3.0,154.0
589,01/09/2016,4.0,20.0
590,01/09/2016,5.0,49.0
591,01/09/2016,6.0,1016.0
592,01/09/2016,7.0,1250.0
593,01/09/2016,8.0,4955.0
594,01/09/2016,14.0,8.0
595,01/09/2016,16.0,7.0
596,01/09/2016,21.0,6.0
597,01/09/2016,22.0,130.0
598,01/09/2016,23.0,2.0
599,01/09/2016,24.0,629.0
600,01/09/2016,28.0,1228.0
601,01/09/2016,31.0,2.0
602,01/09/2016,32.0,1854.0
603,01/09/2016,33.0,345.0
604,01/09/2016,34.0,10.0
605,01/09/2016,41.0,9.0
606,01/09/2016,56.0,38.0
