,date,start_id,amount
287,2016-01-07,Cluster 20,47
288,2016-01-07,Cluster 21,249
289,2016-01-07,Cluster 22,90
290,2016-01-07,Cluster 23,125
291,2016-01-07,Cluster 24,28
292,2016-01-07,Cluster 25,1799
293,2016-01-07,Cluster 26,627
294,2016-01-07,Cluster 27,127
295,2016-01-07,Cluster 28,16
296,2016-01-07,Cluster 29,1
297,2016-01-07,Cluster 3,723
298,2016-01-07,Cluster 30,28
299,2016-01-07,Cluster 31,22
300,2016-01-07,Cluster 32,49
301,2016-01-07,Cluster 33,18
302,2016-01-07,Cluster 34,42
303,2016-01-07,Cluster 35,8
304,2016-01-07,Cluster 36,11
305,2016-01-07,Cluster 37,14
306,2016-01-07,Cluster 38,29
307,2016-01-07,Cluster 39,61
308,2016-01-07,Cluster 4,993
309,2016-01-07,Cluster 40,3
310,2016-01-07,Cluster 41,4
311,2016-01-07,Cluster 42,4
312,2016-01-07,Cluster 43,1
313,2016-01-07,Cluster 44,5
314,2016-01-07,Cluster 45,1935
315,2016-01-07,Cluster 46,1
316,2016-01-07,Cluster 5,1727
317,2016-01-07,Cluster 6,5202
318,2016-01-07,Cluster 7,840
319,2016-01-07,Cluster 8,6203
320,2016-01-07,Cluster 9,832
321,2016-01-08,Cluster 1,852
322,2016-01-08,Cluster 10,43
323,2016-01-08,Cluster 11,104
324,2016-01-08,Cluster 12,164
325,2016-01-08,Cluster 13,49
326,2016-01-08,Cluster 14,242
327,2016-01-08,Cluster 15,397
328,2016-01-08,Cluster 16,11
329,2016-01-08,Cluster 17,102
330,2016-01-08,Cluster 18,287
331,2016-01-08,Cluster 19,227
332,2016-01-08,Cluster 2,876
333,2016-01-08,Cluster 20,55
334,2016-01-08,Cluster 21,246
335,2016-01-08,Cluster 22,86
336,2016-01-08,Cluster 23,120
337,2016-01-08,Cluster 24,25
338,2016-01-08,Cluster 25,1539
339,2016-01-08,Cluster 26,477
340,2016-01-08,Cluster 27,94
341,2016-01-08,Cluster 28,11
342,2016-01-08,Cluster 29,2
343,2016-01-08,Cluster 3,877
344,2016-01-08,Cluster 30,29
345,2016-01-08,Cluster 31,26
346,2016-01-08,Cluster 32,54
347,2016-01-08,Cluster 33,29
348,2016-01-08,Cluster 34,36
349,2016-01-08,Cluster 35,2
350,2016-01-08,Cluster 36,23
351,2016-01-08,Cluster 37,18
352,2016-01-08,Cluster 38,36
353,2016-01-08,Cluster 39,47
354,2016-01-08,Cluster 4,926
355,2016-01-08,Cluster 40,4
356,2016-01-08,Cluster 41,7
357,2016-01-08,Cluster 42,4
358,2016-01-08,Cluster 43,2
