,date,amount,Type,MA,MS
225,08/19/2016,25214,0,22881.428571428572,3994.7500070777423
226,08/20/2016,19912,0,22662.285714285714,4126.520960578687
227,08/21/2016,15736,0,22770.428571428572,3895.0340544999463
228,08/22/2016,18479,0,22226.14285714286,4225.6872982814475
229,08/23/2016,22555,0,22107.0,4199.109905682396
230,08/24/2016,25191,0,21954.14285714286,4039.119682495659
231,08/25/2016,26854,0,21991.571428571428,4090.1508063942633
232,08/26/2016,27412,1,22305.571428571428,4447.524212305947
233,08/27/2016,20450,0,22382.428571428572,4403.699991944006
234,08/28/2016,15150,0,22298.714285714286,4554.107951958897
235,08/29/2016,20214,0,22546.571428571428,4354.407340352335
236,08/30/2016,23308,0,22654.14285714286,4363.940895894118
237,08/31/2016,24726,0,22587.714285714286,4322.228195205406
238,09/01/2016,26907,0,22595.285714285714,4330.984750003388
239,09/02/2016,23298,0,22007.571428571428,3817.062302222435
240,09/03/2016,18644,0,21749.571428571428,3996.6949619714087
241,09/04/2016,15663,0,21822.85714285714,3857.8024153902043
242,09/05/2016,11592,1,20591.14285714286,5488.746257224003
243,09/06/2016,22275,0,20443.571428571428,5416.943075731396
244,09/07/2016,31644,0,21431.85714285714,6786.421232347515
245,09/08/2016,35991,0,22729.571428571428,8626.85819320767
246,09/09/2016,32617,0,24060.85714285714,9412.473770279015
247,09/10/2016,22056,0,24548.285714285714,9170.441460007723
248,09/11/2016,17131,1,24758.0,8947.457217928828
249,09/12/2016,27325,0,27005.571428571428,6809.635767477896
250,09/13/2016,36949,0,29101.85714285714,7348.008855659954
251,09/14/2016,40826,0,30413.571428571428,8591.742932551439
252,09/15/2016,40370,0,31039.14285714286,9203.184800719284
253,09/16/2016,37323,0,31711.428571428572,9504.605144475014
254,09/17/2016,28574,0,32642.571428571428,8684.968640456582
255,09/18/2016,24520,0,33698.142857142855,6709.9401743128155
256,09/19/2016,36180,0,34963.142857142855,6116.6558518134525
257,09/20/2016,40564,0,35479.57142857143,6455.488049123853
258,09/21/2016,44057,0,35941.142857142855,6994.481168001222
259,09/22/2016,42559,0,36253.857142857145,7269.036236635758
260,09/23/2016,38641,0,36442.142857142855,7318.2483202054855
261,09/24/2016,27799,0,36331.42857142857,7461.5792979132475
262,09/25/2016,22123,1,35989.0,8119.932163099226
263,09/26/2016,28601,0,34906.28571428572,8582.345847033619
264,09/27/2016,33518,0,33899.71428571428,8213.457102306467
265,09/28/2016,37169,0,32915.71428571428,7135.652848298367
266,09/29/2016,36216,0,32009.571428571428,6022.963164897684
267,09/30/2016,31592,0,31002.571428571428,5271.885964154354
268,10/01/2016,23380,0,30371.285714285714,5941.489199246429
269,10/02/2016,17293,0,29681.285714285714,7205.118590610567
270,10/03/2016,22341,0,28787.0,7730.857563470353
271,10/04/2016,28216,0,28029.571428571428,7444.514151533401
272,10/05/2016,31454,0,27213.14285714286,6532.692309417607
273,10/06/2016,33445,0,26817.285714285714,5954.607451777325
274,10/07/2016,32608,0,26962.428571428572,6100.971366843788
275,10/08/2016,20240,0,26513.85714285714,6509.990359147288
276,10/09/2016,15415,0,26245.571428571428,6975.390427714264
277,10/10/2016,13958,1,25048.0,8343.020256477877
278,10/11/2016,20888,0,24001.14285714286,8339.004025832905
279,10/12/2016,20008,0,22366.0,7734.319556366953
280,10/13/2016,24100,0,21031.0,6146.884495417199
281,10/14/2016,24634,0,19891.85714285714,4011.988053678319
282,10/15/2016,19589,0,19798.85714285714,4010.1177218203393
283,10/16/2016,15438,0,19802.14285714286,4005.934365770057
284,10/17/2016,20969,1,20803.714285714286,3067.8600964563147
285,10/18/2016,29396,0,22019.14285714286,4471.204104361317
286,10/19/2016,32010,0,23733.714285714286,5702.985204092286
287,10/20/2016,31805,0,24834.428571428572,6476.556771853998
288,10/21/2016,32589,0,25970.85714285714,7103.1406534614935
289,10/22/2016,25238,0,26777.85714285714,6557.1573980542325
290,10/23/2016,17644,0,27093.0,5945.834115860745
291,10/24/2016,22986,0,27381.14285714286,5640.63455143633
292,10/25/2016,27544,0,27116.571428571428,5573.410621188892
293,10/26/2016,29851,0,26808.14285714286,5311.0418760845805
294,10/27/2016,31264,0,26730.85714285714,5229.519813155955
295,10/28/2016,28836,0,26194.714285714286,4693.770861978899
296,10/29/2016,22546,0,25810.14285714286,4891.34366095085
297,10/30/2016,20556,0,26226.14285714286,4148.497576576052
298,10/31/2016,23416,0,26287.571428571428,4095.3664002603214
299,11/01/2016,27636,0,26300.714285714286,4100.215307935524
300,11/02/2016,27314,0,25938.285714285714,3837.8234158737446
301,11/03/2016,30067,0,25767.285714285714,3578.9126241679646
302,11/04/2016,28752,0,25755.285714285714,3567.029516478498
303,11/05/2016,20808,0,25507.0,3874.850491739468
304,11/06/2016,15625,0,24802.571428571428,5160.019116797396
305,11/07/2016,19716,0,24274.0,5503.782002708105
306,11/08/2016,23022,0,23614.85714285714,5306.801812409318
307,11/09/2016,29939,0,23989.85714285714,5690.630059685026
308,11/10/2016,31522,0,24197.714285714286,5969.34811388666
309,11/11/2016,27116,1,23964.0,5790.670916799451
310,11/12/2016,26149,0,24727.0,5655.821838306699
311,11/13/2016,20717,0,25454.428571428572,4499.250932364322
312,11/14/2016,30485,0,26992.85714285714,4026.356973268849
313,11/15/2016,35145,0,28724.714285714286,4600.067489152963
314,11/16/2016,36775,0,29701.285714285714,5532.035391375282
315,11/17/2016,32626,0,29859.0,5607.811961897448
316,11/18/2016,31370,0,30466.714285714286,5490.282103082559
317,11/19/2016,24775,0,30270.428571428572,5691.257091865941
318,11/20/2016,16382,0,29651.14285714286,6991.402945250492
319,11/21/2016,22663,0,28533.714285714286,7446.213662309326
320,11/22/2016,21763,0,26622.0,7178.991340478612
321,11/23/2016,15992,0,23653.0,6550.270528764468
322,11/24/2016,7584,1,20075.571428571428,7588.899016702934
323,11/25/2016,11312,0,17210.14285714286,6289.006689681424
324,11/26/2016,14289,0,15712.142857142857,5368.233956295536
325,11/27/2016,11267,0,14981.42857142857,5604.768768859388
326,11/28/2016,18792,0,14428.42857142857,4862.335682130032
327,11/29/2016,26733,1,15138.42857142857,6270.721512371197
328,11/30/2016,32285,1,17466.0,9048.801909645306
329,12/01/2016,33091,0,21109.85714285714,9529.145929350521
330,12/02/2016,32858,0,24187.85714285714,9314.236422963375
331,12/03/2016,22829,0,25407.85714285714,8306.326111837343
332,12/04/2016,16073,0,26094.428571428572,7045.641391601477
333,12/05/2016,25116,0,26997.85714285714,6321.457543651689
334,12/06/2016,38242,0,28642.0,7607.048398251037
335,12/07/2016,35014,0,29031.85714285714,7889.551390469389
336,12/08/2016,35504,0,29376.571428571428,8145.04270210095
337,12/09/2016,33081,0,29408.428571428572,8161.34859887637
338,12/10/2016,21801,0,29261.571428571428,8307.414215770228
339,12/11/2016,14918,0,29096.571428571428,8618.660333971937
340,12/12/2016,24275,0,28976.428571428572,8688.971915732107
341,12/13/2016,30026,0,27802.714285714286,7730.857514193509
342,12/14/2016,32234,0,27405.571428571428,7361.233385267805
343,12/15/2016,35979,0,27473.428571428572,7449.9825694906585
344,12/16/2016,31950,0,27311.85714285714,7319.216019688003
345,12/17/2016,19863,0,27035.0,7593.911113517221
346,12/18/2016,14053,0,26911.428571428572,7827.394859448106
347,12/19/2016,21370,0,26496.428571428572,8063.908912703647
348,12/20/2016,23155,0,25514.85714285714,7980.420361287839
349,12/21/2016,20064,0,23776.285714285714,7588.688988977542
350,12/22/2016,16412,0,20981.0,5717.813043463424
351,12/23/2016,11317,0,18033.428571428572,4250.823640078258
352,12/24/2016,8364,0,16390.714285714286,5472.323629388388
353,12/25/2016,3546,0,14889.714285714286,7341.987984969004
354,12/26/2016,7245,1,12871.857142857143,7203.865245560273
355,12/27/2016,12234,0,11311.714285714286,5612.479568315829
356,12/28/2016,14623,0,10534.42857142857,4455.940935318642
357,12/29/2016,15654,0,10426.142857142857,4295.628453384274
358,12/30/2016,17247,0,11273.285714285714,5023.634995840094
359,12/31/2016,15806,0,12336.42857142857,5092.332434066762
360,01/01/2017,13710,0,13788.42857142857,3302.726997353592
361,01/02/2017,8984,1,14036.857142857143,2747.1831894125894
362,01/03/2017,21409,0,15347.57142857143,3749.54409927148
363,01/04/2017,20559,0,16195.57142857143,4202.276004625138
364,01/05/2017,22585,0,17185.714285714286,4823.960327168518
365,01/06/2017,23114,0,18023.85714285714,5320.51048392204
366,01/07/2017,13740,1,17728.714285714286,5517.69528318625
367,01/07/2017,13740,1,17733.0,5514.064078940977
368,01/08/2017,12301,1,18206.85714285714,4722.6273559172205
369,01/09/2017,23277,1,18473.714285714286,4979.514625419071
370,01/10/2017,27027,0,19397.714285714286,5938.676107076594
371,01/11/2017,26924,0,20017.571428571428,6524.3629282136135
372,01/12/2017,27299,0,20615.428571428572,7027.720940607141
373,01/13/2017,25856,0,22346.285714285714,6526.282446495022
374,01/14/2017,18116,0,22971.428571428572,5724.88302230256
375,01/15/2017,13462,0,23137.285714285714,5370.045614774829
376,01/16/2017,10518,1,21314.571428571428,7176.2940727821415
377,01/17/2017,23508,0,20811.85714285714,6824.0434843420335
378,01/18/2017,30817,0,21368.0,7527.55987466504
379,01/19/2017,34866,0,22449.0,8933.310901713157
380,01/20/2017,31278,1,23223.571428571428,9495.33330742255
381,01/21/2017,30477,1,24989.428571428572,9536.467792237407
382,01/21/2017,30477,1,27420.14285714286,8180.653344498689
383,01/22/2017,18187,0,28515.714285714286,5667.231708523631
384,01/23/2017,25138,0,28748.571428571428,5456.758587817014
385,01/24/2017,26429,0,28121.714285714286,5431.522982070714
386,01/25/2017,25223,0,26744.14285714286,4594.233430021188
387,01/26/2017,26512,0,26063.285714285714,4141.154215686211
388,01/27/2017,25718,1,25383.428571428572,3658.27504238196
389,01/27/2017,25718,1,24703.571428571428,2922.039405229631
390,01/28/2017,17992,1,24675.714285714286,2994.548976294932
391,01/28/2017,17992,1,23654.85714285714,3893.7390953757563
392,01/29/2017,14043,1,21885.428571428572,5061.99913924477
393,01/30/2017,21287,0,21323.14285714286,4843.356082599922
394,01/31/2017,26402,0,21307.428571428572,4823.854124976017
395,02/01/2017,29384,0,21831.14285714286,5529.848413491186
396,02/02/2017,29634,0,22390.571428571428,6151.714391320638
397,02/03/2017,25160,0,23414.571428571428,5888.460632376521
398,02/04/2017,19986,0,23699.428571428572,5624.746330788151
399,02/05/2017,14554,0,23772.428571428572,5479.987465227278
400,02/06/2017,22946,0,24009.428571428572,5389.712758491689
401,02/07/2017,29430,1,24442.0,5724.834670101876
402,02/08/2017,31947,0,24808.14285714286,6159.080408323221
403,02/09/2017,37434,0,25922.428571428572,7692.394205905471
404,02/10/2017,33374,0,27095.85714285714,8168.47240775109
405,02/11/2017,22136,0,27403.0,7892.33178471359
406,02/12/2017,15748,0,27573.571428571428,7574.870380786373
407,02/13/2017,25763,0,27976.0,7359.824250619059
408,02/14/2017,32139,0,28363.0,7518.5342986515925
409,02/15/2017,35300,0,28842.0,7882.903166558226
410,02/16/2017,35089,0,28507.0,7497.310006484574
411,02/17/2017,27303,0,27639.714285714286,7185.107044303212
412,02/18/2017,20469,0,27401.571428571428,7421.656011456026
413,02/19/2017,18494,0,27793.85714285714,6744.7232814147055
414,02/20/2017,14087,1,26125.85714285714,8536.448684485698
415,02/21/2017,23925,0,24952.428571428572,8126.839070986625
416,02/22/2017,25826,0,23599.0,6796.342030828091
