,date,amount,Type,MA,MS
57,02/27/2017,1850801.0,0,2023186.2857142857,230486.65564533503
58,02/28/2017,1614518.0,1,1946554.0,267184.322854716
59,03/01/2017,2088270.0,0,1939283.0,261705.4193414161
60,03/02/2017,2082746.0,0,1929305.2857142857,253417.71567888567
61,03/03/2017,2286334.0,0,1921080.5714285714,238196.2186866509
62,03/04/2017,2009657.0,0,1950270.142857143,234132.4421956
63,03/05/2017,1767325.0,0,1957093.0,226872.28625668038
64,03/06/2017,2100113.0,0,1992709.0,226974.09564823288
65,03/07/2017,2148167.0,0,2068944.5714285714,157881.36970402484
66,03/08/2017,2201558.0,0,2085128.5714285714,165800.36070211764
67,03/09/2017,2196081.0,0,2101319.285714286,170981.6499946843
68,03/10/2017,2398192.0,0,2117299.0,194732.23192972786
69,03/11/2017,2098085.0,0,2129931.5714285714,189380.19850718044
70,03/12/2017,1829018.0,0,2138744.8571428573,170152.32945357004
71,03/13/2017,2128030.0,0,2142733.0,169421.53646255657
72,03/14/2017,2166513.0,0,2145353.8571428573,169661.3390958871
73,03/15/2017,2173542.0,0,2141351.5714285714,168440.57190876678
74,03/16/2017,2210527.0,0,2143415.285714286,169309.12297699187
75,03/17/2017,2394927.0,0,2142948.8571428573,168492.78922793575
76,03/18/2017,2115615.0,0,2145453.1428571427,167843.87292503787
77,03/19/2017,1718679.0,0,2129690.4285714286,203836.17658784817
78,03/20/2017,2080411.0,0,2122887.714285714,204693.62794244016
79,03/21/2017,2128111.0,0,2117401.714285714,203842.39488283944
80,03/22/2017,2180167.0,0,2118348.1428571427,204161.62348772326
81,03/23/2017,2201499.0,0,2117058.4285714286,203509.7421213189
82,03/24/2017,2399682.0,0,2117737.714285714,204596.83973016654
83,03/25/2017,1972933.0,0,2097354.5714285714,211823.3512228662
84,03/26/2017,1653568.0,0,2088053.0,231718.39615720345
85,03/27/2017,2101086.0,0,2091006.5714285714,231736.51868077618
86,03/28/2017,2141983.0,0,2092988.2857142857,232165.62042768399
87,03/29/2017,2265063.0,0,2105116.285714286,239577.8273809399
88,03/30/2017,2172295.0,0,2100944.285714286,237867.86429564512
89,03/31/2017,2328590.0,0,2090788.2857142857,224106.76924605548
90,04/01/2017,1821097.0,0,2069097.4285714286,243889.70607145157
91,04/02/2017,1770690.0,0,2085829.142857143,212648.28862970625
92,04/03/2017,1709981.0,1,2029957.0,255112.04999307005
93,04/04/2017,1458729.0,0,1932349.2857142857,325973.8461905158
94,04/05/2017,2058580.0,1,1902851.7142857143,299081.5721826372
95,04/06/2017,2130010.0,0,1896811.0,293099.66787880636
96,04/07/2017,2335075.0,0,1897737.4285714286,294697.7866758062
97,04/08/2017,2042040.0,0,1929300.7142857143,296944.5803017313
98,04/09/2017,1769546.0,0,1929137.2857142857,297046.7207111333
99,04/10/2017,2081239.0,0,1982174.142857143,284263.8510617841
100,04/11/2017,2143600.0,0,2080012.857142857,168271.7117268266
101,04/12/2017,2179344.0,0,2097264.8571428573,171860.457858916
102,04/13/2017,2179028.0,0,2104267.4285714286,174396.96908476486
103,04/14/2017,2359435.0,0,2107747.4285714286,179925.63215382193
104,04/15/2017,2059726.0,0,2110274.0,178970.81006223723
105,04/16/2017,1728420.0,0,2104398.8571428573,192205.87544473307
106,04/17/2017,2047490.0,0,2099577.5714285714,193303.78371866504
107,04/18/2017,2085030.0,0,2091210.4285714286,192345.91706077987
108,04/19/2017,2137678.0,0,2085258.142857143,189791.73309396158
109,04/20/2017,2144884.0,0,2080380.4285714286,187403.89704224156
110,04/21/2017,2363327.0,0,2080936.4285714286,188373.0643588738
111,04/22/2017,2016698.0,0,2074789.5714285714,189876.57162470676
112,04/23/2017,1752678.0,0,2078255.0,182582.6729557509
113,04/24/2017,2049638.0,0,2078561.857142857,182524.1459446107
114,04/25/2017,2094457.0,0,2079908.5714285714,182614.5787972191
115,04/26/2017,2114255.0,0,2076562.4285714286,181591.3452002024
116,04/27/2017,2155402.0,0,2078065.0,182293.0501344836
117,04/28/2017,2359528.0,0,2077522.2857142857,181305.21536781962
118,04/29/2017,2027977.0,0,2079133.5714285714,180723.75541588073
119,04/30/2017,1796867.0,0,2085446.2857142857,167724.3171235807
120,05/01/2017,1764762.0,1,2044749.7142857143,207666.15059731022
121,05/02/2017,2077880.0,0,2042381.5714285714,207098.57777465705
122,05/03/2017,2140895.0,0,2046187.2857142857,208876.61714651404
123,05/04/2017,2150702.0,0,2045515.857142857,208474.20428550904
124,05/05/2017,2350411.0,0,2044213.4285714286,206201.56447422752
125,05/06/2017,1984044.0,0,2037937.2857142857,207442.97203787047
126,05/07/2017,1746179.0,0,2030696.142857143,217882.42068711304
127,05/08/2017,2054209.0,0,2072045.7142857143,183802.37220967739
128,05/09/2017,2087131.0,0,2073367.2857142857,183884.55312932475
129,05/10/2017,2115085.0,0,2069680.142857143,182558.84147714186
130,05/11/2017,2121557.0,0,2065516.5714285714,180726.17560447365
131,05/12/2017,2336489.0,0,2063527.7142857143,177108.83473043187
132,05/13/2017,1914916.0,0,2053652.2857142857,184069.89080121552
133,05/14/2017,1597316.0,0,2032386.142857143,228701.9860738922
134,05/15/2017,2034677.0,0,2029595.857142857,228510.4307162865
135,05/16/2017,2088784.0,0,2029832.0,228580.64037446372
136,05/17/2017,2110725.0,0,2029209.142857143,228315.4041769326
137,05/18/2017,2116909.0,0,2028545.142857143,228008.6236157369
138,05/19/2017,2403897.0,0,2038174.857142857,244041.68782773457
139,05/20/2017,2090508.0,0,2063259.4285714286,238215.39073483978
140,05/21/2017,1792505.0,0,2091143.5714285714,178531.71440938007
141,05/22/2017,2055062.0,0,2094055.7142857143,177621.07625289905
142,05/23/2017,2071420.0,0,2091575.142857143,177828.09691893347
143,05/24/2017,2093947.0,0,2089178.2857142857,177639.93851394503
144,05/25/2017,2117171.0,0,2089215.7142857143,177646.78262563093
145,05/26/2017,2281500.0,0,2071730.4285714286,144429.37414858668
146,05/27/2017,1763848.0,0,2025064.7142857143,184550.91217485603
147,05/28/2017,1702175.0,0,2012160.4285714286,205492.22931849683
148,05/29/2017,1655583.0,0,1955092.0,243540.41992381177
149,05/30/2017,1357266.0,1,1853070.0,323232.6097730029
150,05/31/2017,2095977.0,0,1853360.0,323485.55169795925
151,06/01/2017,2107018.0,0,1851909.5714285714,322125.44760949694
152,06/02/2017,2063985.0,0,1820836.0,281738.0305591224
153,06/03/2017,1960262.0,0,1848895.142857143,284879.70444465836
154,06/04/2017,1508546.0,0,1821233.857142857,309809.992215351
155,06/05/2017,2037286.0,0,1875762.857142857,309385.90431499825
156,06/06/2017,2075433.0,0,1978358.142857143,212785.67200309658
157,06/07/2017,2097990.0,0,1978645.7142857143,212972.40042840756
158,06/08/2017,2095009.0,0,1976930.142857143,211811.16916208502
159,06/09/2017,2288723.0,0,2009035.5714285714,242076.00600421408
160,06/10/2017,2025697.0,0,2018383.4285714286,241140.28455020182
161,06/11/2017,1664051.0,0,2040598.4285714286,187552.0122471426
162,06/12/2017,2029953.0,0,2039550.857142857,187594.07191808987
163,06/13/2017,2067159.0,0,2038368.857142857,187356.2188367642
164,06/14/2017,2051582.0,0,2031739.142857143,185708.71057871642
165,06/15/2017,2149397.0,0,2039508.857142857,189887.71612580982
166,06/16/2017,2273795.0,0,2037376.2857142857,186679.1102049308
167,06/17/2017,1744245.0,0,1997168.857142857,217396.5749825483
168,06/18/2017,1503628.0,0,1974251.2857142857,262204.1794243015
169,06/19/2017,2044528.0,0,1976333.4285714286,262777.4656148282
170,06/20/2017,2066138.0,0,1976187.5714285714,262718.92658432305
171,06/21/2017,2114792.0,0,1985217.5714285714,266796.89146543463
172,06/22/2017,2140239.0,0,1983909.2857142857,265878.5014009932
173,06/23/2017,2300609.0,0,1987739.857142857,270896.8234657051
174,06/24/2017,1940613.0,0,2015792.4285714286,250909.37993816068
175,06/25/2017,1663229.0,0,2038592.5714285714,198361.09552938794
176,06/26/2017,2013197.0,0,2034116.7142857143,198558.22738491098
177,06/27/2017,2050309.0,0,2031855.4285714286,198222.6237759428
178,06/28/2017,2071061.0,0,2025608.142857143,195848.0079716822
179,06/29/2017,2086858.0,0,2017982.2857142857,191634.58676581498
180,06/30/2017,2314846.0,0,2020016.142857143,195176.9019278223
181,07/01/2017,1820472.0,0,2002853.142857143,208172.67037520264
182,07/02/2017,1642148.0,0,1999841.5714285714,213976.3689763092
183,07/03/2017,2024841.0,0,2001505.0,214142.6914761897
184,07/04/2017,2054641.0,0,2002123.857142857,214313.4297654009
185,07/05/2017,2106355.0,0,2007165.857142857,216608.45097196946
186,07/06/2017,2119320.0,0,2011803.2857142857,218933.97030285484
187,07/07/2017,2251187.0,0,2002709.142857143,205135.42358600433
188,07/08/2017,1912798.0,0,2015898.5714285714,194138.76577065254
189,07/09/2017,1662013.0,0,2018736.4285714286,187806.76959742146
190,07/10/2017,2073386.0,1,2025671.4285714286,188962.49474861132
191,07/11/2017,2103855.0,0,2032702.0,191123.1621930387
192,07/12/2017,2138580.0,0,2037305.5714285714,193565.41320946853
193,07/13/2017,2163060.0,0,2043554.142857143,197323.72405215102
194,07/14/2017,2252161.0,0,2043693.2857142857,197494.80769521854
195,07/15/2017,1924814.0,0,2045409.857142857,196215.56038655408
196,07/16/2017,1657279.0,0,2044733.5714285714,197759.31814949278
197,07/17/2017,2046562.0,0,2040901.5714285714,197371.08848128095
198,07/18/2017,2087082.0,0,2038505.4285714286,196579.66439407112
199,07/19/2017,2082781.0,0,2030534.142857143,192942.99820018373
200,07/20/2017,2104837.0,0,2022216.5714285714,187454.6794711163
201,07/21/2017,2223758.0,0,2018159.0,181872.1167615675
202,07/22/2017,1859986.0,0,2008897.857142857,188931.12883925744
203,07/23/2017,1605936.0,0,2001563.142857143,205156.72060031592
204,07/24/2017,2016193.0,0,1997224.7142857143,204366.1183119762
205,07/25/2017,2068046.0,0,1994505.2857142857,203093.8278872715
206,07/26/2017,2084107.0,0,1994694.7142857143,203190.48199633922
207,07/27/2017,2098313.0,0,1993762.7142857143,202615.22545102902
208,07/28/2017,2204065.0,0,1990949.4285714286,198993.8840759156
209,07/29/2017,1317347.0,1,1913429.5714285714,324580.4753297486
210,07/30/2017,1055297.0,0,1834766.857142857,452886.9183981169
211,07/31/2017,1985582.0,1,1830393.857142857,450986.92982481135
212,08/01/2017,2052345.0,0,1828150.857142857,449645.0112227155
213,08/02/2017,2040878.0,0,1821975.2857142857,445824.3568883429
214,08/03/2017,2104228.0,0,1822820.2857142857,446440.59092997416
215,08/04/2017,2218507.0,0,1824883.4285714286,448524.59151491214
216,08/05/2017,1912423.0,0,1909894.2857142857,388700.3740190781
217,08/06/2017,1626024.0,0,1991426.7142857143,187190.16381540435
218,08/07/2017,2042440.0,0,1999549.2857142857,188125.53700628894
219,08/08/2017,2039859.0,0,1997765.5714285714,187599.9823230772
220,08/09/2017,2117413.0,0,2008699.142857143,192692.56385187613
221,08/10/2017,2155811.0,0,2016068.142857143,197871.40850430116
222,08/11/2017,2285172.0,0,2025591.7142857143,210443.60764007844
223,08/12/2017,2006184.0,0,2038986.142857143,204952.31089323206
224,08/13/2017,1688909.0,0,2047969.7142857143,184157.55983732507
225,08/14/2017,2050724.0,0,2049153.142857143,184142.7190609032
226,08/15/2017,2114355.0,0,2059795.4285714286,185662.48017379708
227,08/16/2017,2100176.0,0,2057333.0,184883.6122159016
228,08/17/2017,2114068.0,0,2051369.7142857143,181825.79515451402
229,08/18/2017,2242805.0,0,2045317.2857142857,173248.98040653695
230,08/19/2017,1947925.0,0,2036994.5714285714,176805.08360230736
231,08/20/2017,1693514.0,1,2037652.4285714286,175296.19410477483
232,08/21/2017,2046170.0,0,2037001.857142857,175248.04057242992
233,08/22/2017,2069924.0,0,2030654.5714285714,172766.50759320287
234,08/23/2017,2130195.0,0,2034943.0,175136.1044197717
235,08/24/2017,2137625.0,0,2038308.2857142857,177124.94737304683
236,08/25/2017,2270092.0,0,2042206.4285714286,182591.4826973561
237,08/26/2017,2058549.0,0,2058009.857142857,177795.64613475793
238,08/27/2017,1676223.0,0,2055539.7142857143,183724.8912003251
239,08/28/2017,2114443.0,0,2065293.0,184952.66661410034
240,08/29/2017,2056158.0,0,2063326.4285714286,184968.40431440965
241,08/30/2017,2065918.0,0,2054144.0,182676.83442078764
242,08/31/2017,2060090.0,0,2043067.5714285714,179086.76745724562
243,09/01/2017,2176595.0,0,2029710.857142857,162004.6768701736
244,09/02/2017,1750519.0,0,1985706.5714285714,191935.27834911476
245,09/03/2017,1450522.0,0,1953463.5714285714,259615.12334534517
246,09/04/2017,2000504.0,0,1937186.5714285714,251278.03790877832
247,09/05/2017,1974435.0,0,1925511.857142857,246685.7197430418
248,09/06/2017,2082057.0,0,1927817.4285714286,248286.91505786625
249,09/07/2017,2090316.0,0,1932135.4285714286,251216.23813948032
250,09/08/2017,2223846.0,0,1938885.5714285714,259381.705294762
251,09/09/2017,1890974.0,0,1958950.5714285714,247544.116647152
252,09/10/2017,1607803.0,0,1981419.2857142857,195337.16191217824
253,09/11/2017,2038934.0,0,1986909.2857142857,196499.52344447185
254,09/12/2017,2080190.0,0,2002017.142857143,199424.30840833485
255,09/13/2017,1961897.0,0,1984851.4285714286,196537.0803045034
256,09/14/2017,2000090.0,0,1971962.0,191358.050199967
257,09/15/2017,2264586.0,0,1977782.0,200687.8045530747
258,09/16/2017,1955751.0,0,1987035.857142857,197485.80892934048
259,09/17/2017,1647140.0,0,1992655.4285714286,185065.0539025458
260,09/18/2017,2034897.0,0,1992078.7142857143,184903.0200958633
261,09/19/2017,2078692.0,0,1991864.7142857143,184784.87630369328
262,09/20/2017,2117994.0,0,2014164.2857142857,189913.28708888328
263,09/21/2017,2116962.0,0,2030860.2857142857,193571.83391419487
264,09/22/2017,2308869.0,0,2037186.4285714286,202978.37504921292
265,09/23/2017,1963260.0,0,2038259.142857143,202495.53790510073
266,09/24/2017,1629535.0,0,2035744.142857143,208192.0674516909
267,09/25/2017,2040449.0,0,2036537.2857142857,208198.877758514
268,09/26/2017,2069368.0,0,2035205.2857142857,207913.865376758
269,09/27/2017,2113029.0,0,2034496.0,207592.58584384277
270,09/28/2017,2125715.0,0,2035746.4285714286,208197.58643642408
271,09/29/2017,2261488.0,0,2028977.7142857143,198376.7541755787
272,09/30/2017,2156872.0,0,2056636.5714285714,201164.55257728425
273,10/01/2017,1658578.0,0,2060785.5714285714,190926.4421383769
274,10/02/2017,2075364.0,0,2065773.4285714286,190762.61044192855
275,10/03/2017,2215663.0,0,2086672.7142857143,199055.57973064895
276,10/04/2017,1401562.0,1,1985034.5714285714,325091.93453024764
277,10/05/2017,2127944.0,0,1985353.0,325253.7489904354
278,10/06/2017,2306852.0,0,1991833.5714285714,332053.4825214439
279,10/07/2017,1827524.0,0,1944783.857142857,328080.60863778973
280,10/08/2017,1691059.0,0,1949424.0,323556.56604216783
281,10/09/2017,1688369.0,0,1894139.0,331417.89315605693
282,10/10/2017,1522401.0,1,1795101.5714285714,322794.95341101347
283,10/11/2017,2051121.0,0,1887895.7142857143,281536.49099522486
284,10/12/2017,2073282.0,0,1880086.857142857,274437.24913564924
285,10/13/2017,2243423.0,0,1871025.5714285714,258587.4254276206
286,10/14/2017,1703401.0,0,1853293.7142857143,266210.88709937764
287,10/15/2017,1508694.0,0,1827241.5714285714,292371.7040560159
288,10/16/2017,2075537.0,0,1882551.2857142857,298283.4662110931
289,10/17/2017,2116464.0,0,1967417.4285714286,260905.23550059085
290,10/18/2017,2144226.0,0,1980718.142857143,268156.0091709226
291,10/19/2017,2172063.0,0,1994829.7142857143,276314.0432839137
292,10/20/2017,2356359.0,0,2010963.4285714286,295854.53313684213
293,10/21/2017,2068226.0,0,2063081.2857142857,262947.9942407584
294,10/22/2017,1785042.0,0,2102559.5714285714,170245.27530875063
295,10/23/2017,2074996.0,0,2102482.285714286,170259.70940567437
296,10/24/2017,2111185.0,0,2101728.1428571427,170199.13810144897
297,10/25/2017,2145367.0,0,2101891.1428571427,170247.16134239294
298,10/26/2017,2162298.0,0,2100496.1428571427,169615.17834540273
299,10/27/2017,2376917.0,0,2103433.0,174880.03747331077
300,10/28/2017,2101552.0,1,2108193.8571428573,174214.1928904649
301,10/29/2017,1769441.0,0,2105965.1428571427,179069.40707579313
302,10/30/2017,2097111.0,0,2109124.4285714286,178626.49847083804
303,10/31/2017,2101501.0,0,2107741.0,178645.37932358225
304,11/01/2017,2105486.0,0,2102043.714285714,177879.7276342586
305,11/02/2017,2106264.0,0,2094038.857142857,175966.79266216522
306,11/03/2017,2328514.0,0,2087124.142857143,163508.2713070181
307,11/04/2017,1978109.0,0,2069489.4285714286,168280.01712904684
308,11/05/2017,1704858.0,0,2060263.2857142857,188078.06544953084
309,11/06/2017,2072711.0,0,2056777.5714285714,187506.5742552839
310,11/07/2017,2101238.0,0,2056740.0,187496.14533726618
311,11/08/2017,2137529.0,0,2061317.5714285714,189267.37612071173
312,11/09/2017,2172539.0,0,2070785.4285714286,193500.80985261785
313,11/10/2017,2376216.0,0,2077600.0,204611.06569456743
314,11/11/2017,2076404.0,0,2091642.142857143,199965.34205159018
315,11/12/2017,1765559.0,0,2100313.714285714,180793.94254391207
316,11/13/2017,2104741.0,0,2104889.4285714286,180383.77091528772
317,11/14/2017,2125633.0,0,2108374.4285714286,180537.05764916798
318,11/15/2017,2156293.0,0,2111055.0,181180.24051479774
319,11/16/2017,2184194.0,0,2112720.0,181891.58987704726
320,11/17/2017,2410237.0,0,2117580.1428571427,190362.8899238053
321,11/18/2017,2059414.0,0,2115153.0,191082.34151712354
322,11/19/2017,1758552.0,0,2114152.0,193225.28379933434
323,11/20/2017,2153672.0,0,2121142.1428571427,193712.54072071885
324,11/21/2017,2129187.0,0,2121649.8571428573,193730.9294299945
325,11/22/2017,2149481.0,0,2120676.714285714,193544.92769700286
326,11/23/2017,2183164.0,0,2120529.5714285714,193488.97382784466
327,11/24/2017,2395615.0,0,2118440.714285714,189885.4714169519
328,11/25/2017,1960549.0,0,2104317.1428571427,198489.40655311928
329,11/26/2017,1701884.0,0,2096221.7142857143,215378.89705951084
330,11/27/2017,2085581.0,0,2086494.4285714286,213884.22282928127
331,11/28/2017,2146194.0,0,2088924.0,214545.5771718446
332,11/29/2017,2170914.0,0,2091985.857142857,215703.65982479168
333,11/30/2017,2173133.0,0,2090552.857142857,215029.23979731096
334,12/01/2017,2373228.0,0,2087354.7142857143,209839.6897504649
335,12/02/2017,2104832.0,0,2107966.5714285714,202257.26114848308
336,12/03/2017,1830090.0,0,2126281.714285714,160941.09742875324
337,12/04/2017,2095622.0,0,2127716.1428571427,160562.18311963396
338,12/05/2017,2149946.0,0,2128252.1428571427,160640.39143423073
339,12/06/2017,2196152.0,0,2131857.5714285714,162034.65416370786
340,12/07/2017,2242648.0,0,2141788.285714286,167038.86741086585
341,12/08/2017,2480232.0,0,2157074.5714285714,194403.3658958073
342,12/09/2017,2250016.0,0,2177815.1428571427,195641.5241297452
343,12/10/2017,1990108.0,0,2200674.8571428573,152925.290325515
344,12/11/2017,2154264.0,0,2209052.285714286,147729.17914629568
345,12/12/2017,2206207.0,0,2217089.5714285714,145491.0187008782
346,12/13/2017,2234195.0,0,2222524.285714286,145288.9535198909
347,12/14/2017,2262797.0,0,2225402.714285714,145952.1669768502
348,12/15/2017,2504886.0,0,2228924.714285714,153241.81382128823
349,12/16/2017,2281846.0,0,2233471.8571428573,154439.52732966328
350,12/17/2017,1979509.0,1,2231957.714285714,157249.5485183928
351,12/18/2017,2205205.0,0,2239235.0,154203.98034529987
352,12/19/2017,2232123.0,0,2242937.285714286,153588.73040766502
353,12/20/2017,2283916.0,0,2250040.285714286,154265.27360979555
354,12/21/2017,2280225.0,0,2252530.0,154645.63811501546
355,12/22/2017,2496342.0,0,2251309.4285714286,152338.41295709377
356,12/23/2017,2443486.0,0,2274400.8571428573,169070.40262903267
357,12/24/2017,2033090.0,0,2282055.285714286,154039.17072151424
358,12/25/2017,2289712.0,0,2294127.714285714,150277.99286512923
359,12/26/2017,2238948.0,0,2295102.714285714,149830.1331160452
360,12/27/2017,2269483.0,0,2293040.8571428573,150108.78340771154
