amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm,city
2121557.0,,2017-05-11,False,False,False,False,False,False,Taipei
2336489.0,,2017-05-12,False,False,False,False,False,False,Taipei
1914916.0,,2017-05-13,False,True,False,False,True,True,Taipei
1597316.0,,2017-05-14,False,False,False,False,False,False,Taipei
2034677.0,,2017-05-15,False,False,False,False,False,False,Taipei
2088784.0,,2017-05-16,False,False,False,False,False,False,Taipei
2110725.0,,2017-05-17,False,False,False,False,False,True,Taipei
2116909.0,,2017-05-18,False,False,False,False,False,False,Taipei
2403897.0,,2017-05-19,False,False,False,True,False,True,Taipei
2090508.0,,2017-05-20,False,False,False,True,False,True,Taipei
1792505.0,,2017-05-21,False,False,False,False,False,False,Taipei
2055062.0,,2017-05-22,False,False,False,False,False,False,Taipei
2071420.0,,2017-05-23,False,False,False,False,False,False,Taipei
2093947.0,,2017-05-24,False,False,False,False,False,False,Taipei
2117171.0,,2017-05-25,False,False,False,False,False,False,Taipei
2281500.0,,2017-05-26,False,False,False,False,False,True,Taipei
1763848.0,,2017-05-27,True,True,False,False,True,False,Taipei
1702175.0,,2017-05-28,False,True,False,False,True,False,Taipei
1655583.0,,2017-05-29,True,True,True,True,True,False,Taipei
1357266.0,National Holiday,2017-05-30,True,True,True,True,True,True,Taipei
2095977.0,,2017-05-31,True,False,False,True,False,False,Taipei
2107018.0,,2017-06-01,False,False,False,False,False,False,Taipei
2063985.0,,2017-06-02,False,False,False,False,False,False,Taipei
1960262.0,,2017-06-03,False,True,True,True,True,False,Taipei
1508546.0,,2017-06-04,False,True,False,True,True,False,Taipei
2037286.0,,2017-06-05,True,False,False,False,False,False,Taipei
2075433.0,,2017-06-06,False,False,False,False,False,False,Taipei
2097990.0,,2017-06-07,False,False,False,False,False,False,Taipei
2095009.0,,2017-06-08,False,False,False,False,False,False,Taipei
2288723.0,,2017-06-09,False,False,False,False,False,False,Taipei
2025697.0,,2017-06-10,False,False,False,True,True,True,Taipei
1664051.0,,2017-06-11,False,False,False,False,False,True,Taipei
2029953.0,,2017-06-12,False,False,False,False,False,False,Taipei
