,Component,Date,Value
211,Component4,2017-01-14,0.27510159999999995
212,Component5,2017-01-14,0.023958456
213,Component6,2017-01-14,-0.5319505999999999
214,Component7,2017-01-14,0.6223721999999999
215,Component8,2017-01-14,0.27781890000000004
216,Component9,2017-01-14,0.37306073
217,Component10,2017-01-14,-0.57060987
218,Component11,2017-01-14,-0.25155133
219,Component12,2017-01-14,-0.1594346
220,Component13,2017-01-14,-0.4836661
221,Component14,2017-01-14,0.20377226
222,Component15,2017-01-14,-1.3453475000000001
223,Component16,2017-01-14,0.53491944
224,Component1,2017-01-15,0.14266124
225,Component2,2017-01-15,0.5315458000000001
226,Component3,2017-01-15,0.30299738
227,Component4,2017-01-15,0.24060954
228,Component5,2017-01-15,-0.047643263
229,Component6,2017-01-15,-0.3189763
230,Component7,2017-01-15,0.5787374
231,Component8,2017-01-15,0.29323298
232,Component9,2017-01-15,0.34783885
233,Component10,2017-01-15,-0.59467125
234,Component11,2017-01-15,0.12365586
235,Component12,2017-01-15,-0.18360965
236,Component13,2017-01-15,-0.25837788
237,Component14,2017-01-15,0.3377324
238,Component15,2017-01-15,-1.4905115
239,Component16,2017-01-15,0.52401716
240,Component1,2017-01-16,0.0029913702
241,Component2,2017-01-16,0.580485
242,Component3,2017-01-16,0.27703166
243,Component4,2017-01-16,0.38840159999999996
244,Component5,2017-01-16,-0.22713383
245,Component6,2017-01-16,0.16142717
246,Component7,2017-01-16,0.53220296
247,Component8,2017-01-16,0.43276346
248,Component9,2017-01-16,0.23709078
249,Component10,2017-01-16,-0.51507485
250,Component11,2017-01-16,0.30333340000000003
251,Component12,2017-01-16,0.05208304
252,Component13,2017-01-16,-0.44885996
253,Component14,2017-01-16,0.3504923
254,Component15,2017-01-16,-1.9201223000000003
255,Component16,2017-01-16,0.44815814
256,Component1,2017-01-17,0.25450847
257,Component2,2017-01-17,0.50965893
258,Component3,2017-01-17,0.118899696
259,Component4,2017-01-17,0.5548303000000001
260,Component5,2017-01-17,-0.025556903
261,Component6,2017-01-17,0.07669757
262,Component7,2017-01-17,0.6234684
263,Component8,2017-01-17,0.39080542
264,Component9,2017-01-17,0.31934640000000003
265,Component10,2017-01-17,-0.23097841
266,Component11,2017-01-17,-0.6448174
267,Component12,2017-01-17,0.25150532
268,Component13,2017-01-17,-0.46723285
269,Component14,2017-01-17,-0.3750847
270,Component15,2017-01-17,-1.7065803
271,Component16,2017-01-17,0.32802800000000004
272,Component1,2017-01-18,0.32462847
273,Component2,2017-01-18,0.5255559
274,Component3,2017-01-18,0.14313793
275,Component4,2017-01-18,0.5022903000000001
276,Component5,2017-01-18,-0.21412642
277,Component6,2017-01-18,-0.056228115999999995
278,Component7,2017-01-18,0.6075891
279,Component8,2017-01-18,0.43565908
280,Component9,2017-01-18,0.33955285
281,Component10,2017-01-18,-0.14786027
282,Component11,2017-01-18,-0.47197348
283,Component12,2017-01-18,-0.11446521400000001
284,Component13,2017-01-18,-0.3923917
285,Component14,2017-01-18,0.010277563
286,Component15,2017-01-18,-1.5449701999999998
287,Component16,2017-01-18,0.38159573
288,Component1,2017-01-19,0.3435348
289,Component2,2017-01-19,0.5329461999999999
290,Component3,2017-01-19,0.12613268
291,Component4,2017-01-19,0.41227898
292,Component5,2017-01-19,-0.27295333
293,Component6,2017-01-19,-0.3092614
294,Component7,2017-01-19,0.6056161
295,Component8,2017-01-19,0.38881874
296,Component9,2017-01-19,0.3469776
297,Component10,2017-01-19,-0.31389242
298,Component11,2017-01-19,-0.34877095
299,Component12,2017-01-19,-0.23624991
300,Component13,2017-01-19,-0.32494798
301,Component14,2017-01-19,0.120955855
302,Component15,2017-01-19,-1.4232152
303,Component16,2017-01-19,0.44612366
304,Component1,2017-01-20,0.23125012
305,Component2,2017-01-20,0.5636905
306,Component3,2017-01-20,-0.12559907
307,Component4,2017-01-20,0.19314611
308,Component5,2017-01-20,-0.15289843
309,Component6,2017-01-20,-0.48623776
310,Component7,2017-01-20,0.60916764
311,Component8,2017-01-20,0.31443164
312,Component9,2017-01-20,-0.018480685
313,Component10,2017-01-20,-0.80787003
314,Component11,2017-01-20,-0.25011933
315,Component12,2017-01-20,0.3058171
316,Component13,2017-01-20,-0.52225536
317,Component14,2017-01-20,-0.11875386
318,Component15,2017-01-20,-1.4683595
319,Component16,2017-01-20,0.51677907
320,Component1,2017-01-21,0.14030972
321,Component2,2017-01-21,0.465157
322,Component3,2017-01-21,0.30423623
323,Component4,2017-01-21,0.22136566
324,Component5,2017-01-21,0.009692277
325,Component6,2017-01-21,-0.60498905
326,Component7,2017-01-21,0.6233363000000001
327,Component8,2017-01-21,0.25514477
328,Component9,2017-01-21,0.31919256
329,Component10,2017-01-21,-0.7131645000000001
330,Component11,2017-01-21,-0.27698356
331,Component12,2017-01-21,-0.018523006
332,Component13,2017-01-21,-0.5714478000000001
333,Component14,2017-01-21,0.11318041400000001
334,Component15,2017-01-21,-1.2801628999999999
335,Component16,2017-01-21,0.5407268
336,Component1,2017-01-22,-0.04360713
337,Component2,2017-01-22,0.52565724
338,Component3,2017-01-22,0.31185782
339,Component4,2017-01-22,0.26881698
340,Component5,2017-01-22,0.11510174
341,Component6,2017-01-22,-0.21363154
342,Component7,2017-01-22,0.59026796
343,Component8,2017-01-22,0.29290625
344,Component9,2017-01-22,0.29739508
345,Component10,2017-01-22,-0.41441107
346,Component11,2017-01-22,0.07679605
347,Component12,2017-01-22,-0.03613147
348,Component13,2017-01-22,-0.30555079999999996
349,Component14,2017-01-22,0.3495379
350,Component15,2017-01-22,-1.7088549
351,Component16,2017-01-22,0.51567256
352,Component1,2017-01-23,0.098759584
353,Component2,2017-01-23,0.5435651999999999
354,Component3,2017-01-23,0.18386307
355,Component4,2017-01-23,0.443317
356,Component5,2017-01-23,-0.1940161
357,Component6,2017-01-23,-0.02952106
358,Component7,2017-01-23,0.60089266
359,Component8,2017-01-23,0.36918217
360,Component9,2017-01-23,0.2627118
361,Component10,2017-01-23,-0.6445135999999999
362,Component11,2017-01-23,-0.09921127
363,Component12,2017-01-23,0.23726222
364,Component13,2017-01-23,-0.61667675
365,Component14,2017-01-23,-0.014177452
366,Component15,2017-01-23,-1.7573891
367,Component16,2017-01-23,0.42306802
368,Component1,2017-01-24,0.38045487
369,Component2,2017-01-24,0.5376625
370,Component3,2017-01-24,0.13937053
371,Component4,2017-01-24,0.46937245
372,Component5,2017-01-24,-0.42777297
373,Component6,2017-01-24,-0.17963526
374,Component7,2017-01-24,0.6073581
375,Component8,2017-01-24,0.38659990000000005
376,Component9,2017-01-24,0.35462895
377,Component10,2017-01-24,-0.74123883
378,Component11,2017-01-24,-0.29777309999999996
379,Component12,2017-01-24,0.063426964
380,Component13,2017-01-24,-0.515301
381,Component14,2017-01-24,-0.20625888
382,Component15,2017-01-24,-1.3860908
383,Component16,2017-01-24,0.42762792
384,Component1,2017-01-25,0.23528647
385,Component2,2017-01-25,0.47602907
386,Component3,2017-01-25,0.29116976
387,Component4,2017-01-25,0.49091019999999996
388,Component5,2017-01-25,-0.1566135
389,Component6,2017-01-25,-0.14427675
390,Component7,2017-01-25,0.6243887
391,Component8,2017-01-25,0.42259705
392,Component9,2017-01-25,0.38208976
393,Component10,2017-01-25,-0.22160104
394,Component11,2017-01-25,-0.56288344
395,Component12,2017-01-25,-0.14845009
396,Component13,2017-01-25,-0.63240767
397,Component14,2017-01-25,0.03141463
398,Component15,2017-01-25,-1.4829836
399,Component16,2017-01-25,0.41897625
400,Component1,2017-01-26,0.019612323
401,Component2,2017-01-26,0.42721012
402,Component3,2017-01-26,0.26707709999999996
403,Component4,2017-01-26,0.44492158
404,Component5,2017-01-26,0.29251146
405,Component6,2017-01-26,-0.16121244
406,Component7,2017-01-26,0.64438224
407,Component8,2017-01-26,0.38624611
408,Component9,2017-01-26,0.19402467
409,Component10,2017-01-26,0.030448397999999998
410,Component11,2017-01-26,-0.9703628000000001
411,Component12,2017-01-26,0.16267562
412,Component13,2017-01-26,-0.67086667
413,Component14,2017-01-26,-0.08427651
414,Component15,2017-01-26,-1.6021162
415,Component16,2017-01-26,0.47006220000000004
416,Component1,2017-01-27,0.5465687
417,Component2,2017-01-27,0.45985144
418,Component3,2017-01-27,0.22261612
419,Component4,2017-01-27,0.44062826
420,Component5,2017-01-27,0.06486598
421,Component6,2017-01-27,-0.30425233
422,Component7,2017-01-27,0.6087085999999999
423,Component8,2017-01-27,0.41844812
424,Component9,2017-01-27,0.40856007
425,Component10,2017-01-27,0.035282232000000004
426,Component11,2017-01-27,-0.811893
427,Component12,2017-01-27,-0.64876956
428,Component13,2017-01-27,0.0035834403000000003
429,Component14,2017-01-27,-0.062768415
430,Component15,2017-01-27,-0.8454655999999999
431,Component16,2017-01-27,0.49321994
432,Component1,2017-01-28,0.3499268
433,Component2,2017-01-28,0.3975214
434,Component3,2017-01-28,0.40363827
435,Component4,2017-01-28,0.33141845
436,Component5,2017-01-28,0.056563046
437,Component6,2017-01-28,-0.7751600000000001
438,Component7,2017-01-28,0.63893723
439,Component8,2017-01-28,0.20350756
440,Component9,2017-01-28,0.49672958
441,Component10,2017-01-28,-0.68266094
442,Component11,2017-01-28,-0.55010843
443,Component12,2017-01-28,-0.36757305
444,Component13,2017-01-28,-0.35588935
445,Component14,2017-01-28,0.018796654
446,Component15,2017-01-28,-0.98768115
447,Component16,2017-01-28,0.5496709
448,Component1,2017-01-29,0.13136408
449,Component2,2017-01-29,0.42656819999999995
450,Component3,2017-01-29,0.5096782
451,Component4,2017-01-29,0.42403948
452,Component5,2017-01-29,0.2515473
453,Component6,2017-01-29,-0.019296743
454,Component7,2017-01-29,0.59308004
455,Component8,2017-01-29,0.3312156
456,Component9,2017-01-29,0.48921117
457,Component10,2017-01-29,-0.18261473
458,Component11,2017-01-29,-0.02703085
459,Component12,2017-01-29,-0.44182897
460,Component13,2017-01-29,-0.19913787
461,Component14,2017-01-29,0.33722082
462,Component15,2017-01-29,-1.3981459999999999
463,Component16,2017-01-29,0.50967044
464,Component1,2017-01-30,0.08132498
465,Component2,2017-01-30,0.51537144
466,Component3,2017-01-30,0.35920653
467,Component4,2017-01-30,0.5307847
468,Component5,2017-01-30,-0.13245901
469,Component6,2017-01-30,0.18229220000000002
470,Component7,2017-01-30,0.5947394
471,Component8,2017-01-30,0.4697122
472,Component9,2017-01-30,0.37937550000000003
473,Component10,2017-01-30,-0.11053667
474,Component11,2017-01-30,-0.15384842
475,Component12,2017-01-30,-0.124921665
476,Component13,2017-01-30,-0.58472544
477,Component14,2017-01-30,0.22426921
478,Component15,2017-01-30,-1.8275888999999998
479,Component16,2017-01-30,0.37068796
480,Component1,2017-01-31,0.20325115
481,Component2,2017-01-31,0.45380682
482,Component3,2017-01-31,0.37628013
483,Component4,2017-01-31,0.53592974
484,Component5,2017-01-31,-0.108005315
485,Component6,2017-01-31,0.014464171000000001
486,Component7,2017-01-31,0.6171041
487,Component8,2017-01-31,0.39983788
488,Component9,2017-01-31,0.45743814
489,Component10,2017-01-31,-0.27313253
490,Component11,2017-01-31,-0.41178957
491,Component12,2017-01-31,-0.1140812
492,Component13,2017-01-31,-0.5814126000000001
493,Component14,2017-01-31,0.0039242893
494,Component15,2017-01-31,-1.5327978
495,Component16,2017-01-31,0.37808907
496,Component1,2017-02-01,0.32477218
497,Component2,2017-02-01,0.47873282
498,Component3,2017-02-01,0.17535444
499,Component4,2017-02-01,0.47596723
500,Component5,2017-02-01,-0.061268575
501,Component6,2017-02-01,-0.19473685
502,Component7,2017-02-01,0.6228871
503,Component8,2017-02-01,0.40359956
504,Component9,2017-02-01,0.33501637
505,Component10,2017-02-01,-0.11825930000000001
506,Component11,2017-02-01,-0.7226146
507,Component12,2017-02-01,-0.10170209
508,Component13,2017-02-01,-0.432705
509,Component14,2017-02-01,-0.08225596
510,Component15,2017-02-01,-1.3767874
511,Component16,2017-02-01,0.4163656
512,Component1,2017-02-02,0.42305422
513,Component2,2017-02-02,0.46695238
514,Component3,2017-02-02,0.24583787
515,Component4,2017-02-02,0.5159154
516,Component5,2017-02-02,-0.11001788
517,Component6,2017-02-02,-0.18368557
518,Component7,2017-02-02,0.6138439
519,Component8,2017-02-02,0.33408663
520,Component9,2017-02-02,0.4807633
521,Component10,2017-02-02,-0.28124109999999997
522,Component11,2017-02-02,-0.55416137
523,Component12,2017-02-02,-0.23781957
524,Component13,2017-02-02,-0.18891425
525,Component14,2017-02-02,-0.14202784
526,Component15,2017-02-02,-1.2457942
527,Component16,2017-02-02,0.39228252
528,Component1,2017-02-03,0.48000982
529,Component2,2017-02-03,0.34803626
530,Component3,2017-02-03,0.22862310000000002
531,Component4,2017-02-03,0.51488215
532,Component5,2017-02-03,0.3538223
