,Component,Date,Value
299,Component12,2016-01-19,-0.05701544
300,Component13,2016-01-19,-0.44295976
301,Component14,2016-01-19,-0.60661244
302,Component15,2016-01-19,-0.48430485
303,Component16,2016-01-19,-0.90331626
304,Component1,2016-01-20,-1.0768704
305,Component2,2016-01-20,0.48432434
306,Component3,2016-01-20,0.44139078
307,Component4,2016-01-20,-1.6620537
308,Component5,2016-01-20,0.14514334
309,Component6,2016-01-20,0.47616333
310,Component7,2016-01-20,-0.2016446
311,Component8,2016-01-20,-0.64447016
312,Component9,2016-01-20,0.61657953
313,Component10,2016-01-20,0.06046169999999999
314,Component11,2016-01-20,0.53983086
315,Component12,2016-01-20,0.31288699999999997
316,Component13,2016-01-20,0.33649573
317,Component14,2016-01-20,-0.022052445
318,Component15,2016-01-20,-0.24550252
319,Component16,2016-01-20,-1.1317716
320,Component1,2016-01-21,-0.31699628
321,Component2,2016-01-21,-1.1997948999999999
322,Component3,2016-01-21,-0.5123103
323,Component4,2016-01-21,0.44199269999999996
324,Component5,2016-01-21,-1.3438985
325,Component6,2016-01-21,-0.11921118
326,Component7,2016-01-21,-3.0736
327,Component8,2016-01-21,0.27047598
328,Component9,2016-01-21,0.5302772
329,Component10,2016-01-21,-0.15072307
330,Component11,2016-01-21,-1.3899256000000002
331,Component12,2016-01-21,0.30501175
332,Component13,2016-01-21,-0.43122092
333,Component14,2016-01-21,-0.5355576999999999
334,Component15,2016-01-21,-0.9389653
335,Component16,2016-01-21,-0.6686501
336,Component1,2016-01-22,-1.5998667
337,Component2,2016-01-22,0.19092408
338,Component3,2016-01-22,0.31901944
339,Component4,2016-01-22,0.12680908
340,Component5,2016-01-22,-0.12815808
341,Component6,2016-01-22,0.42973346
342,Component7,2016-01-22,-0.57885456
343,Component8,2016-01-22,-0.87473726
344,Component9,2016-01-22,0.64419186
345,Component10,2016-01-22,-1.7480783
346,Component11,2016-01-22,0.05059185
347,Component12,2016-01-22,-0.041523922000000005
348,Component13,2016-01-22,-0.19561003
349,Component14,2016-01-22,-0.8190035
350,Component15,2016-01-22,0.36137205
351,Component16,2016-01-22,-1.3882201
352,Component1,2016-01-23,-1.1239666000000001
353,Component2,2016-01-23,-0.7507124
354,Component3,2016-01-23,0.22883923
355,Component4,2016-01-23,-0.034437857999999995
356,Component5,2016-01-23,0.19888215
357,Component6,2016-01-23,0.61357427
358,Component7,2016-01-23,-0.07101442
359,Component8,2016-01-23,-0.6849147
360,Component9,2016-01-23,-0.18598819
361,Component10,2016-01-23,0.06130935
362,Component11,2016-01-23,0.18825103
363,Component12,2016-01-23,0.5521672
364,Component13,2016-01-23,-1.3816087
365,Component14,2016-01-23,0.26447192
366,Component15,2016-01-23,0.5916238
367,Component16,2016-01-23,-0.62425494
368,Component1,2016-01-24,-1.6547127000000001
369,Component2,2016-01-24,-0.10361789999999999
370,Component3,2016-01-24,-0.33933905
371,Component4,2016-01-24,0.04562072
372,Component5,2016-01-24,-0.039436735
373,Component6,2016-01-24,0.5666587
374,Component7,2016-01-24,-0.6783456
375,Component8,2016-01-24,-0.067954496
376,Component9,2016-01-24,-0.251008
377,Component10,2016-01-24,-0.12615705
378,Component11,2016-01-24,0.2968348
379,Component12,2016-01-24,0.62467617
380,Component13,2016-01-24,-1.1788604
381,Component14,2016-01-24,0.35676083
382,Component15,2016-01-24,0.49394040000000006
383,Component16,2016-01-24,-0.20873052
384,Component1,2016-01-25,-2.7424119
385,Component2,2016-01-25,0.55365956
386,Component3,2016-01-25,-0.8408233
387,Component4,2016-01-25,0.0037738309999999996
388,Component5,2016-01-25,0.2211545
389,Component6,2016-01-25,0.24881847
390,Component7,2016-01-25,-0.36440638
391,Component8,2016-01-25,-0.21998583
392,Component9,2016-01-25,0.4365517
393,Component10,2016-01-25,-1.144583
394,Component11,2016-01-25,0.34379822
395,Component12,2016-01-25,0.38311273
396,Component13,2016-01-25,-0.23614137
397,Component14,2016-01-25,-0.11065764
398,Component15,2016-01-25,0.18535583
399,Component16,2016-01-25,-0.74885917
400,Component1,2016-01-26,-2.6264338
401,Component2,2016-01-26,0.34951422
402,Component3,2016-01-26,-0.49657735
403,Component4,2016-01-26,-0.06881541
404,Component5,2016-01-26,-0.2683664
405,Component6,2016-01-26,0.17708795
406,Component7,2016-01-26,-1.148814
407,Component8,2016-01-26,-0.5126828
408,Component9,2016-01-26,0.5362848000000001
409,Component10,2016-01-26,-1.4615126
410,Component11,2016-01-26,0.18663976
411,Component12,2016-01-26,0.34470508
412,Component13,2016-01-26,-0.48036125
413,Component14,2016-01-26,-0.7058827
414,Component15,2016-01-26,0.11615910000000002
415,Component16,2016-01-26,-1.0663512
416,Component1,2016-01-27,-1.5775678
417,Component2,2016-01-27,-0.24302915
418,Component3,2016-01-27,0.02354112
419,Component4,2016-01-27,-0.24985994
420,Component5,2016-01-27,-0.25412470000000004
421,Component6,2016-01-27,0.0075677847
422,Component7,2016-01-27,-1.0906861
423,Component8,2016-01-27,-1.2802448
424,Component9,2016-01-27,0.58541054
425,Component10,2016-01-27,-0.15277843
426,Component11,2016-01-27,-0.5471885
427,Component12,2016-01-27,0.17786199
428,Component13,2016-01-27,0.06634754
429,Component14,2016-01-27,-0.42091316
430,Component15,2016-01-27,-0.18757014
431,Component16,2016-01-27,-1.7066959
432,Component1,2016-01-28,-0.55116993
433,Component2,2016-01-28,-0.2445556
434,Component3,2016-01-28,0.13176435
435,Component4,2016-01-28,-0.19517885
436,Component5,2016-01-28,-0.6338278
437,Component6,2016-01-28,-0.5575358
438,Component7,2016-01-28,-1.2354791999999999
439,Component8,2016-01-28,-0.76431215
440,Component9,2016-01-28,0.610594
441,Component10,2016-01-28,-0.12388081
442,Component11,2016-01-28,-0.79009145
443,Component12,2016-01-28,-0.22583809999999999
444,Component13,2016-01-28,0.33460417
445,Component14,2016-01-28,-0.72527915
446,Component15,2016-01-28,-0.8772434000000001
447,Component16,2016-01-28,-1.2040485
448,Component1,2016-01-29,-0.2523004
449,Component2,2016-01-29,-0.032205522
450,Component3,2016-01-29,0.59740007
